Name,Nation,Gender,Event,QualifiedBy,EventId
Sha'Carri RICHARDSON,USA,W,Women's 100 Metres,Qualified by Wild Card,10229509
Melissa JEFFERSON-WOODEN,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Julien ALFRED,LCA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Tina CLAYTON,JAM,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Tia CLAYTON,JAM,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Kayla WHITE,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Twanisha TERRY,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Jacious SEARS,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Marie-Josée TA LOU-SMITH,CIV,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Anthaya CHARLTON,BAH,W,Women's 100 Metres,Qualified by Entry Standard,10229509
JaMeesia FORD,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Favour OFILI,NGR,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Dina ASHER-SMITH,GBR,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Shericka JACKSON,JAM,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Aleia HOBBS,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Tima GODBLESS,NGR,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Thelma DAVIES,LBR,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Shelly-Ann FRASER-PRYCE,JAM,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Daryll NEITA,GBR,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Leah BERTRAND,TTO,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Gina LÜCKENKEMPER,GER,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Alexis BROWN,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Samirah MOODY,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Dajaz DEFRAND,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Zoe HOBBS,NZL,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Audrey LEDUC,CAN,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Ashanti MOORE,JAM,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Sade MCCREATH,CAN,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Camille RUTHERFORD,BAH,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Tamari DAVIS,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Anavia BATTLE,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Cambrea STURGIS,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Mckenzie LONG,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Shenese WALKER,JAM,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Ewa SWOBODA,POL,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Semira KILLEBREW,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Jada MOWATT,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Kemba NELSON,JAM,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Kaila JACKSON,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Jodean WILLIAMS,JAM,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Gina Mariam BASS BITTAYE,GAM,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Celera BARNES,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Joella LLOYD,ANT,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Brianna SELBY,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Gabrielle THOMAS,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Dana WILSON,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Jasmine MONTGOMERY,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Alana REID,JAM,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Amy HUNT,GBR,W,Women's 100 Metres,Qualified by Entry Standard,10229509
India MAYBERRY,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Rosemary CHUKWUMA,NGR,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Jonielle SMITH,JAM,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Jassani CARTER,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Briana WILLIAMS,JAM,W,Women's 100 Metres,Qualified by Entry Standard,10229509
English GARDNER,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Liranyi ALONSO,DOM,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Brittany BROWN,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Patrizia VAN DER WEKEN,LUX,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Cynteria JAMES,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Minke BISSCHOPS,NED,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Camryn DICKSON,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Boglárka TAKÁCS,HUN,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Jade BROWN,USA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Zaynab DOSSO,ITA,W,Women's 100 Metres,Qualified by Entry Standard,10229509
Destiny SMITH-BARNETT,LBR,W,Women's 100 Metres,Qualified by World Rankings,10229509
Rani ROSIUS,BEL,W,Women's 100 Metres,Qualified by World Rankings,10229509
Gémima JOSEPH,FRA,W,Women's 100 Metres,Qualified by World Rankings,10229509
Xiaojing LIANG,CHN,W,Women's 100 Metres,Qualified by World Rankings,10229509
Torrie LEWIS,AUS,W,Women's 100 Metres,Qualified by World Rankings,10229509
Jenna PRANDINI,USA,W,Women's 100 Metres,Qualified by World Rankings,10229509
Delphine NKANSA,BEL,W,Women's 100 Metres,Qualified by World Rankings,10229509
Lorène Dorcas BAZOLO,POR,W,Women's 100 Metres,Qualified by World Rankings,10229509
Karolína MAŇASOVÁ,CZE,W,Women's 100 Metres,Qualified by World Rankings,10229509
Ana Carolina AZEVEDO,BRA,W,Women's 100 Metres,Qualified by World Rankings,10229509
Géraldine FREY,SUI,W,Women's 100 Metres,Qualified by World Rankings,10229509
Maboundou KONÉ,CIV,W,Women's 100 Metres,Qualified by World Rankings,10229509
Shashalee FORBES,JAM,W,Women's 100 Metres,Qualified by World Rankings,10229509
Salomé KORA,SUI,W,Women's 100 Metres,Qualified by World Rankings,10229509
Bree RIZZO,AUS,W,Women's 100 Metres,Qualified by World Rankings,10229509
Julia HENRIKSSON,SWE,W,Women's 100 Metres,Qualified by World Rankings,10229509
Natasha MORRISON,JAM,W,Women's 100 Metres,Qualified by World Rankings,10229509
María Ignacia MONTT,CHI,W,Women's 100 Metres,Qualified by World Rankings,10229509
Viktória FORSTER,SVK,W,Women's 100 Metres,Qualified by World Rankings,10229509
Lisa MAYER,GER,W,Women's 100 Metres,Qualified by World Rankings,10229509
Shericka JACKSON,JAM,W,Women's 200 Metres,Qualified by Wild Card,10229510
Julien ALFRED,LCA,W,Women's 200 Metres,Qualified by Entry Standard,10229510
Gabrielle THOMAS,USA,W,Women's 200 Metres,Qualified by Entry Standard,10229510
Melissa JEFFERSON-WOODEN,USA,W,Women's 200 Metres,Qualified by Entry Standard,10229510
Mckenzie LONG,USA,W,Women's 200 Metres,Qualified by Entry Standard,10229510
JaMeesia FORD,USA,W,Women's 200 Metres,Qualified by Entry Standard,10229510
Brittany BROWN,USA,W,Women's 200 Metres,Qualified by Entry Standard,10229510
Favour OFILI,NGR,W,Women's 200 Metres,Qualified by Entry Standard,10229510
Tamari DAVIS,USA,W,Women's 200 Metres,Qualified by Entry Standard,10229510
Anavia BATTLE,USA,W,Women's 200 Metres,Qualified by Entry Standard,10229510
Dina ASHER-SMITH,GBR,W,Women's 200 Metres,Qualified by Entry Standard,10229510
Amy HUNT,GBR,W,Women's 200 Metres,Qualified by Entry Standard,10229510
Madison WHYTE,USA,W,Women's 200 Metres,Qualified by Entry Standard,10229510
